ref_mol	ref_frame	mol	frame	   rmsd
      1	        1	  1	   32	  3.162
      1	        1	  1	   33	  2.866
      1	        1	  1	   34	  2.452
      1	        1	  1	   35	  2.366
      1	        1	  1	   36	  2.935
      1	        1	  1	   37	  2.885
      1	        1	  1	   38	  2.776
      1	        1	  1	   39	  3.288
      1	        1	  1	   40	  2.294
      1	        1	  1	   41	  3.186
      1	        1	  1	   42	  2.330
      1	        1	  1	   43	  3.393
      1	        1	  1	   44	  2.270
      1	        1	  1	   45	  1.401
      1	        1	  1	   46	  2.132
      1	        1	  1	   47	  2.371
      1	        1	  1	   48	  3.530
      1	        1	  1	   49	  3.064
      1	        1	  1	   50	  3.353
      1	        1	  1	   51	  3.012
      1	        1	  1	   52	  2.134
      1	        1	  1	   53	  2.235
      1	        1	  1	   54	  2.595
      1	        1	  1	   55	  2.925
      1	        1	  1	   56	  2.666
      1	        1	  1	   57	  4.004
      1	        1	  1	   58	  2.440
      1	        1	  1	   59	  2.251
      1	        1	  1	   60	  2.488
      1	        1	  1	   61	  2.703
      1	        1	  1	   62	  2.948
      1	        1	  1	   63	  3.219
      1	        1	  1	   64	  2.140
      1	        1	  1	   65	  2.298
      1	        1	  1	   66	  2.347
      1	        1	  1	   67	  2.139
      1	        1	  1	   68	  3.176
      1	        1	  1	   69	  2.713
      1	        1	  1	   70	  2.222
      1	        1	  1	   71	  2.586
      1	        1	  1	   72	  2.443
      1	        1	  1	   73	  2.525
      1	        1	  1	   74	  2.987
      1	        1	  1	   75	  2.581
      1	        1	  1	   76	  2.574
      1	        1	  1	   77	  2.504
      1	        1	  1	   78	  3.680
      1	        1	  1	   79	  2.312
      1	        1	  1	   80	  2.482
      1	        1	  1	   81	  2.649
      1	        1	  1	   82	  2.723
      1	        1	  1	   83	  2.522
      1	        1	  1	   84	  2.296
      1	        1	  1	   85	  2.705
      1	        1	  1	   86	  3.193
      1	        1	  1	   87	  3.189
      1	        1	  1	   88	  2.187
      1	        1	  1	   89	  2.222
      1	        1	  1	   90	  2.508
      1	        1	  1	   91	  2.830
      1	        1	  1	   92	  2.306
      1	        1	  1	   93	  3.196
      1	        1	  1	   94	  3.145
      1	        1	  1	   95	  3.226
      1	        1	  1	   96	  3.228
      1	        1	  1	   97	  3.211
      1	        1	  1	   98	  2.203
      1	        1	  1	   99	  3.286
      1	        2	  0	    0	  2.676
      1	        2	  0	    1	  3.222
      1	        2	  0	    2	  1.426
      1	        2	  0	    3	  2.846
      1	        2	  0	    4	  3.072
      1	        2	  0	    5	  2.845
      1	        2	  0	    6	  2.969
      1	        2	  0	    7	  2.942
      1	        2	  0	    8	  2.883
      1	        2	  0	    9	  2.925
      1	        2	  0	   10	  2.832
      1	        2	  0	   11	  3.013
      1	        2	  0	   12	  2.911
      1	        2	  0	   13	  2.728
      1	        2	  0	   14	  3.068
      1	        2	  0	   15	  3.140
      1	        2	  0	   16	  3.191
      1	        2	  0	   17	  3.051
      1	        2	  0	   18	  2.866
      1	        2	  0	   19	  3.008
      1	        2	  0	   20	  2.826
      1	        2	  0	   21	  2.880
      1	        2	  0	   22	  2.878
      1	        2	  0	   23	  2.250
      1	        2	  0	   24	  3.204
      1	        2	  0	   25	  3.078
      1	        2	  0	   26	  3.227
      1	        2	  0	   27	  1.641
      1	        2	  0	   28	  3.018
      1	        2	  0	   29	  2.797
      1	        2	  0	   30	  2.787
      1	        2	  0	   31	  2.960
      1	        2	  0	   32	  2.848
      1	        2	  0	   33	  3.110
